timestep,oat_mse,enriched_mse
1.260000000000000000e+02,1.872950389926088810e-01,1.878505698180932271e-01
1.270000000000000000e+02,1.963228909713333192e-01,1.960716372274473318e-01
1.280000000000000000e+02,2.045738454541773110e-01,1.966222794539469743e-01
1.290000000000000000e+02,2.136164852158282668e-01,2.027708541752421545e-01
1.300000000000000000e+02,2.023676845228299381e-01,2.014407559792395497e-01
1.310000000000000000e+02,2.071726626489078793e-01,2.051093112254282480e-01
1.320000000000000000e+02,2.120451621001180065e-01,2.080419467826198909e-01
1.330000000000000000e+02,2.153503411541925761e-01,2.129128968721256121e-01
1.340000000000000000e+02,2.021616867759148950e-01,2.120682985797407716e-01
1.350000000000000000e+02,2.019291679722489130e-01,2.157497349349782878e-01
1.360000000000000000e+02,2.116472359352861432e-01,2.090182828721008079e-01
1.370000000000000000e+02,2.137198141208268010e-01,2.110711683233675307e-01
1.380000000000000000e+02,2.209655033354181453e-01,2.014893475052027261e-01
1.390000000000000000e+02,2.209963579853646831e-01,2.020031959181244341e-01
1.400000000000000000e+02,2.207406059085974537e-01,1.959618662093882691e-01
1.410000000000000000e+02,2.171935727446399622e-01,1.784866685985820323e-01
1.420000000000000000e+02,2.135416454747028625e-01,1.801756709621229746e-01
1.430000000000000000e+02,2.162688676854304104e-01,1.835504624310065613e-01
1.440000000000000000e+02,2.275599234325346165e-01,1.826891156368830871e-01
1.450000000000000000e+02,2.237285377516992912e-01,1.809729712770436483e-01
1.460000000000000000e+02,2.256887176009244600e-01,1.716929079023131188e-01
1.470000000000000000e+02,2.174405338654877562e-01,1.686467197507154070e-01
1.480000000000000000e+02,2.092688246521895168e-01,1.709172249135488542e-01
1.490000000000000000e+02,2.106383872849285355e-01,1.662615089794126644e-01
1.500000000000000000e+02,2.150441266061955126e-01,1.700107633860332146e-01
1.510000000000000000e+02,2.250072516668567557e-01,1.710139307300138356e-01
1.520000000000000000e+02,2.120055520426379070e-01,1.744601997288153794e-01
1.530000000000000000e+02,2.043263258680975969e-01,1.682892891770915167e-01
1.540000000000000000e+02,2.052766197718375318e-01,1.701686251841099118e-01
1.550000000000000000e+02,2.091159359684208741e-01,1.848081357303241468e-01
1.560000000000000000e+02,2.138691196143695794e-01,1.889216015015492411e-01
1.570000000000000000e+02,2.158033891276660565e-01,1.960531942580624465e-01
1.580000000000000000e+02,2.154556291776041077e-01,2.012923840961093336e-01
1.590000000000000000e+02,2.186650262386294341e-01,1.756983788235292054e-01
1.600000000000000000e+02,2.248681300311345110e-01,1.853248270453984048e-01
1.610000000000000000e+02,2.301682473873271906e-01,1.902687804112589420e-01
1.620000000000000000e+02,2.335877917195669784e-01,1.913371415626007321e-01
1.630000000000000000e+02,2.264752439534426509e-01,1.957944643597909762e-01
1.640000000000000000e+02,2.190058399001592326e-01,2.041199190228077387e-01
1.650000000000000000e+02,2.185737820648291363e-01,2.062269595553882784e-01
1.660000000000000000e+02,2.122293276759860958e-01,2.076167316032472010e-01
1.670000000000000000e+02,2.255361800420629670e-01,2.154949704914295439e-01
1.680000000000000000e+02,2.299320362941688900e-01,2.190286256114980235e-01
1.690000000000000000e+02,2.327290617286837948e-01,2.167333575943760082e-01
1.700000000000000000e+02,2.375160081860027694e-01,2.212841783699784903e-01
1.710000000000000000e+02,2.377157036589866712e-01,2.338503200835839180e-01
1.720000000000000000e+02,2.433963942076458886e-01,2.427915268289692896e-01
1.730000000000000000e+02,2.420341558093322132e-01,2.479726907971444294e-01
1.740000000000000000e+02,2.588658909655109364e-01,2.533298951748466643e-01
1.750000000000000000e+02,2.753769394163508299e-01,2.621704126317828676e-01
1.760000000000000000e+02,2.700608969336183440e-01,2.671371360148572793e-01
1.770000000000000000e+02,2.792844287679611681e-01,2.831122373774226930e-01
1.780000000000000000e+02,2.830379389546344715e-01,2.861729132741039350e-01
1.790000000000000000e+02,2.929267176672227802e-01,2.903213618399441143e-01
1.800000000000000000e+02,2.921292750804717064e-01,2.954490516046973103e-01
1.810000000000000000e+02,2.948510265441922629e-01,2.979772049240879683e-01
1.820000000000000000e+02,3.077343048242524581e-01,3.041745428963514852e-01
